0,1
b' CHSommers That is possible to do but its a lot of work ':,neutral
b' UWMadison NatureComms such device stimulating vagus nerve can be used for treating neurodegenerative diseases':,neutral
b'But Adds robot ':,neutral
b'Do you put it in your belly button ':,curiosity
b'I probably need the large bilateral electrocution strength version':,neutral
b'Kind of overkill isnt it There are natural appetite suppressants available that are harmless and they':,neutral
b'Sounds like a pretty extreme way of escaping your responsibility to practice a little self discipline fo':,admiration
b'This lady is unironically going to get a machine implanted in her body instead of just eating meat like':,neutral
b'What if you just reprogram your brain to think hunger progress ':,neutral
b'Why do these genious always try to avoid the roots of the problems with their reverse engineering gimmic':,neutral
b' DavidPerlmutter About Probiotic amp Microbiota very interesting this websit':,admiration
b'Unfortunately commercial probiotics are very incomplete amp do not sufficiently approximate the enti':,disapproval
b'Watched your podcast citing your promising results of treating a young boys autism with a fecal t':,neutral
b'You mean probiotics can help millions of patients suffering from inflammation of the gut which is cau':,neutral
b'The Mediterranean Diet has potential heart health benefits':,neutral
b' Cara PR Comms CedarsSinai Nice article Ali You are continuing from where you left off at Houston Many congratulations':,admiration
b' CedarsSinai You are so kind thank you':,gratitude
b'Good luck dear professor':,optimism
b'Great work ':,admiration
b'Extract from soursop leaves can prevent the symptoms of fibromyalgia study suggest':,neutral
b'We love SoursopTea ':,love
b' WUSTLmed OMG and what exactly is promising about that ':,curiosity
b' WUSTLmed Why would you know Theres no treatment One of the Wilson amp Jungner criteria for screening early diagnosis ':,curiosity
b'Thanks for sharing this ':,gratitude
b'Gold destroys everything from central banks to prostate cancer ':,neutral
b' MDAndersonNews NatureMedicine Take a look at Phillip Newmans case history At 17 he had diarrhea f':,neutral
b'Wow if you need an IP attorney to support you on this one Im raising my hand ':,surprise
b' DiscoStew66 or people that eat fermented dairy products are trying to be healthy generally saying':,neutral
b' JoseAntonioPh':,admiration
b' Plenty but not too much because A very high consumption of non fermented dairy products on the':,neutral
b'Kefir':,neutral
b'Makes me feel better about my yogurt habit ':,sadness
b' 4bb3neuroimmune EVIDENCE Measuring CSF cytokine levels may have clinical utility in both identifying':,neutral
b' 2healthylife ECNPtweets EurekAlert I want to get my hands on the study Im interested in the anti':,approval
b' LillianBlau ECNPtweets EurekAlert Pretty sure this is backwards My bipolar treatment has seriousl':,approval
b'As Im writing this the start of a blizzard whiteout is happening outside my window ':,admiration
b'Im not ready for snow ':,neutral
b' and you are doing it midwife cw Wow ':,surprise
b' birthhumanright MidwivesRCM ScotlandRCM WhoseShoes world midwives BUMidwiferySoc De KNOV Tha':,neutral
b' Canadamidwives':,neutral
b' D Oickle I was so impressed when I learned this That may beat all of Nova Scotia ':,confusion
b' D Oickle Were up to three midwives now in temiskamingshores covering area all the way up to Kirkland Lake ':,neutral
b' dionnems SheenaBSooD SagefemmeSB JeniStevensS2S elainebdmidwife BradfieldZoe nodexl':,neutral
b' janethemidwife SheenaBSooD SagefemmeSB JeniStevensS2S elainebdmidwife BradfieldZoe nodexl':,neutral
b' MidwivesRCM ScotlandRCM WhoseShoes world midwives BUMidwiferySoc MidwivesIreland De KNOV':,neutral
b' RHDinPregnancy sistercherisse ':,surprise
b' world midwives RHDinPregnancy Yay the midwives AboriginalMidw1':,neutral
b'And more ':,neutral
b'Boom ':,neutral
b' CowVetPaul':,neutral
b'Forget milk Use indegenious cow urine as medicine and cancer will commit suicide':,neutral
b' EurekAlert I agree But for every good image the public sees many of these in the media':,approval
b' davidamills But it doesnt measure Bifidobacterium at all It measures metabolites that can be pr':,neutral
b' davidamills The EVIVO test measures levels of key metabolites including acetate and lactate which i':,admiration
b'Very cool Is it reliable in frozen stool samples ':,admiration
b'Yes we designed it to work with previously frozen stool Check out our video on how this works':,neutral
b' beatinggbm4':,neutral
b'lets hope so ':,optimism
b'Thank you':,gratitude
b'Youre very welcome Cindy Please let me know if I can be of any other help ':,confusion
b'Un dels oncolegs m s reconegut Antoni Ribas Oncoleg Catal que es dedica a lestudi i investigaci del c ncer de':,neutral
b'Would a pt with spine lung and liver mets be a candidate for this ':,neutral
b' CMAJ MacDeptMed ProfBEEM Dr Worster was my dads ERP when he had his MI never was I so relieved t':,neutral
b' MacHealthSci CMAJ MacDeptMed ProfBEEM Thanks for sharing this great example of partnership in action':,gratitude
b' NI':,neutral
b' NIH Lol never heard of this organization ':,amusement
b'My A1C was 4 6 at 10 weeks and I failed my OGTT My A1C throughout my pregnancy never went higher th':,annoyance
b'Yes people who eat glucose become intolerant of it so just stop eating glucose and grains that carry it ':,neutral
b' EurekAlert una pregunta la Clortalidona 12 5 aumenta el Acido urico verdad Amlodipina 2 5 mg Telmisartan 20 mg opcion mas':,neutral
b' ACSHorg Not only absurdly small n 9 but no control cohort diet uncontrolled this is bullshit not science ':,neutral
b' AnnieBruton kimble rachel':,neutral
b' ivanoransky It has to make you laugh then think Um I dont think Abrahams means laugh at it because its under powered ':,neutral
b' ivanoransky No ':,neutral
b' ivanoransky No no Emerging means it is trial balloon If not too many folks giggle and gaffaw then they will run with it ':,neutral
b' Skepticscalpel How are these study results even viable with only 9 participants ':,neutral
b' stephaniemlee And a surrogate marker The fact that the AAAS brand is at the top with this disclaime':,neutral
b' stephaniemlee I naively didnt realize Eurekalert was a pay to subscribe or pay per use service That':,neutral
b'A total of nine healthy adults what a sample size drank around 200ml of tart cherry juice every day Researchers':,neutral
b'If this is not that some cherry picked data ':,neutral
b'In 1998 Wakefield based on 12 patients all of them having significant other problems Wakefield is i':,neutral
b'Its emerging that means its real ':,neutral
b'Oh for gods sake Lets see how many media outlets pick THIS one up ':,curiosity
b'This could be an ignobel candidate for AIR ':,neutral
b'You are so cynical ccziv Thanks for the read At least they noted who funded the study And 9 subjects ':,gratitude
b'You pay your money and aaas will lend you its credibility ':,neutral
b'Awsome invention ':,neutral
b'Im sorry but ever since the Theranos scandal I am very very VERY wary of any device that claims to be':,remorse
b' VitorMendesPer1 Congrats Nikki ':,gratitude
b'I think I need this Lol':,amusement
b' medical xpress Let them eat cake then ':,neutral
b'Nothing like adding a little fuel to the fire chuckle ':,neutral
b'Thats way I love being a fluffy grandma ':,love
b' dupuytren But what ':,curiosity
b' ThailandMedica':,neutral
b' ThailandMedica':,neutral
b'We are always here to help ':,approval
b' MassGeneralNews EurekAlert AmDiabetesAssn Seems very important For those of us without the means t':,neutral
b'BCG 1 HbA1c 3 5 BCG ':,neutral
b'This is exciting news I will be following I have been a DCCT EDIC study participant for TID for 30 years and will':,approval
b' EurekAlert Awesome info ':,admiration
b' EurekAlert But they taste like mangoes ':,neutral
b' EurekAlert Love them Here in Fl they are coming into season I have 2 on my mango tree':,love
b' Microbiomeplus EurekAlert Good to know':,admiration
b' PCRM EurekAlert They are so yummy to me':,neutral
b'Interesting study promoting the benefits of mangoes Perfect for summer ':,admiration
b' NHK ':,neutral
b' doc cook Oh that is just too dang cool ':,admiration
b' VTGN is gonna be lot better ':,admiration
b'If Vtgn shows efficacy jnj buys them':,neutral
b' OfTraum':,neutral
b'But on reading primary paper the evidence for interaction between fish protein parvalbumin and the clumps of':,neutral
b' GrattonCaterina WUSTL A step in the right direction to assess reproducibility but continuous rsfMR':,neutral
b' hashtagAshleyN NeuroCellPress WUSTL stevenmnelson ndosenbach gordonneuro DeannaJGreene':,admiration
b' MDMagazine Blood tests have overtaken diagnosis to the near exclusion of patient self reports doctors active listening ':,neutral
b' ProfCarolineS Great question it looks like it is quite pain specific We are running a survey at th':,admiration
b' ProfCarolineS Wonder if it would have any influence on other types of gynecological pain such as with en':,neutral
b'Here are some more articles in this thread':,neutral
b' aparanjape netshrink breakthrough path breaking miracle therapies are encountered probably':,curiosity
b'Great work Would this type of device provide any relief for tension type headaches or is it mainly for migraines ':,admiration
b'Hmm after TMS was initially hyped so much for psychiatric disorders only to slowly fizzle out cant sa':,neutral
b'Thank you for your interest Studies using sTMS have been studied specifically in migraine We do not ha':,gratitude
b' Antibodies against the gene products of individual TRK genes can be found at our website':,neutral
b' DMResponse DrScottNewton robust new tech Bring it ':,neutral
b' MUSChealth Just what I need ':,neutral
b'Hi todays chat topic is tips for using storytelling in dementia care creativitycare':,joy
b'If this is true we can all get tested now or anytime Just a saliva test ':,neutral
b'Some times these findings come and go but we have try and make sure that we dont miss a simple therapy':,confusion
b'Wow Is that possible ':,surprise
b' SandeepBaglaMD Team VIV Very Happy to read that the procedure we described with my colleague Dr O':,joy
b'And the sad reality is T vec is far in superior to PV10':,sadness
b'Oncolytic virus is a hot topic ':,neutral
b'With a modified virus injected directly into the cancer interesting ':,neutral
b' ARRS Radiology EurekAlert Which kind of breast cancers ':,neutral
b'a 60K solution for an option already available OTC for under 5 bucks ha ':,neutral
b'Comes standard with every first class ticket on Singapore Airlines ':,neutral
b'Discount included in NRA memberships ':,neutral
b'Include in the flight package lol':,amusement
b'Is this a joke 60K ':,admiration
b'Not a Vanda fan but PIII design suggests its used for just 1 day Implies cost per acute episode is':,neutral
b'Perfect price point for Skymall ':,neutral
b'Thats approximately what it currently costs for the blindness indication it is approved for ':,curiosity
b'Whoever chose the stock photo cant possibly be the same person who wrote this I wish they had read the article ':,desire
b' SanJoan Oh verd SanJoan ':,curiosity
b'2 things 1 Having everything will never work or make you happy 2 What others say is most of the ti':,joy
b'Been taking probiotics for a while Fecal transplant if they fail bacteria':,neutral
b'Ive used the orange brand which is okay But both my proctologist and gastroenterologist recomme':,neutral
b'nice ':,admiration
b'This is true Raine':,admiration
b'Learn the basics of the Mediterranean Diet here':,neutral
b'Weve written about the heart health benefits of a Mediterranean Diet here':,neutral
b' ATCanonymous':,neutral
b' chelsmtoney Thank you ':,gratitude
b' concussionblog I completely agree':,approval
b' DrRider ':,neutral
b' DrRider Marker dx Ct Dx plan treatment CT ':,neutral
b' megtirrell This is why we have a Canadian CT head rule and PECARN ':,neutral
b' NFL Read this please ':,neutral
b' nytimes Putting a price tag on events that risk TBI as opposed to a player sitting out if they fail a':,neutral
b' ollq pllo CSF Rhinorrhea ':,neutral
b' ollq pllo FDA Thai ':,anger
b' SGottliebFDA Right And that not so much analysis as it is common sense ':,neutral
b' Test results can be available within 3 to 4 hours CT results are available right away and allow eval':,neutral
b' US FDA Awesome to see new means of testing for concussion but questions remain about uch l1 and g':,admiration
b' virenkaul drdangayach AmyGDalaMD Seems like another 1000 to bill for what If it takes 4 hrs its n':,neutral
b'Clinical evaluation works well IMO ':,neutral
b'gen idealist sa l k habercilerinin dikkatine sunar m akguleser1 ve fesraoz':,neutral
b'Great stuff that effectively proves what the research has been pointing to for a while now Trying t':,admiration
b'I wont be holding my breath ':,neutral
b'Instead if intentional vagueness in addressing these deaths why not admit publicly that those 43 dea':,neutral
b'Interesting article ':,admiration
b'It will get a lot of mention for concussion diagnosis but thats not its use And doesnt fit well i':,disapproval
b'It would have been nice if NATA1950 made that distinction when they tweeted the story out ':,admiration
b'Let us be very clear that this is not a blood test for concussions but a blood test for ruling out in':,neutral
b'Never said it was a TEST for concussions Apologize if it came across that way was just stating the headl':,neutral
b'NOT a test for concussion not for kids under 18 Please read statement from NATA':,neutral
b'Read it today too Had the thought that the FDA doesnt seem to know what this test does ':,curiosity
b'Super frustrating The scary thing is on the Banyan website Although they never use the word concuss':,neutral
b'That sounds hopeful ':,curiosity
b'This is great Now why cant we make progress by making use of analyses of kratom supported by scien':,admiration
b'What about kids in sports So they can have early warnings to quit before they have to much damage m':,neutral
b'Wow ':,admiration
b'Wow I just tweeted about this a sec ago as it seemed promising Digging in a little further it ap':,surprise
b'Wow if this is real its a game changer ':,surprise
b'Yowza':,anger
b'Awesome work ':,admiration
b'Now add Severe Very Severe ME to the trials Sweden shows abnl proteins in CSF of these pts and this disease m':,neutral
b'Will this approach be eventually implemented to diagnose or will PD remain to be clinicallt diagnosed ':,approval
b' BarnsGreg I dont think that is a fair criticism We often see BarnsGreg stand up and advocate for pa':,neutral
b' Bleeding4Kansas EurekAlert ksleg CJOnlin':,neutral
b' DizzyLizzy2906 ukhomeoffice PaulFlynnMP Limbic capitalism sugar tobacco etc This is one of m':,neutral
b' MikeLoBurgio EurekAlert Tell this to the premier of South Australia he needs educating on this issue ':,neutral
b' noshitsherlock':,sadness
b' PlayersNetwork you have every right to be against alcohol amp marijuana amp profanity your apparentl':,annoyance
b' ScienceDaily Great article Amazing stats LegalizeIt flowerpower ':,admiration
b' ukhomeoffice PaulFlynnMP Agreed Misuse of Drugs Act 1971 has barely if at all been revised in 50y':,neutral
b' ukhomeoffice PaulFlynnMP And all the while scientific researchers like Prof David Nutt have had t':,neutral
b' ukhomeoffice PaulFlynnMP They and all the governments since 1971 have done a very good job of ignoring the evidence ':,admiration
b' ukhomeoffice PaulFlynnMP Unless you work in the home office then you can ease licences through fo':,neutral
b'But you will likely do it on your own since most doctors are being paid to profit from other drugs ':,neutral
b'Education and legalization will help on this critical front cannabis PainManagement CherylShuman':,annoyance
b'For senoirs also with depression apetite loss not sleeping well helps enjoy music movies more e':,joy
b'Hello Jeff Sessions':,neutral
b'It seems like common sense to be honest ':,neutral
b'Nice ':,admiration
b'That is just the tip of the iceberg The Hempire Strikes Back Cannabis prohibition is the crime':,neutral
b'Yes Unfortunately some people wont believe the benefits unless its prescribed to them by someon':,neutral
b'Yes We are survivors of NJ heroin epidemic suffering in amp Out of institutions amp jails for 11 yrs':,neutral
b' alcoholawareness Big Alcohol exposed Worldwide The deadliest and most abused drug and killer and destroye':,neutral
b' QUT SciReports just wondering could this be used to help school students who have alcohol foe':,neutral
b'Thank you magtell for sharing':,gratitude
b' when the extended dosing regimens were applied with risk reduction for PML as high as 94 percent ':,neutral
b' DiscoStew66 Gearoidmuar Time for fish bread ':,curiosity
b' JefferyNutr yes one example of the limitation of nutritionism':,neutral
b'Interesting I always thought the lignans and phytochemicals in flax and soy were responsible for thei':,neutral
b'Mouse study ':,neutral
b'What a surprise ':,admiration
b'When I was a young lad in NZ the only thing I remember about flax linseed oil was that it was used on timber':,neutral
b'Yes interesting nonetheless ':,curiosity
b'Good to know Keep up the great work ':,admiration
b' audibme vader7x':,neutral
b'And mixed with black pepper the yellow turmeric root forms the perfect synergy ':,neutral
b'Find out more about the benefits of curcumin here':,neutral
b'Find out more about the benefits of curcumin here':,neutral
b'Forgot all about that ':,neutral
b'I use it before sleep and it really seems to helps with joint pain and nervous tension':,approval
b'Interesting timing I just bought 2 bottles of this over the weekend ':,admiration
b'More DrinkZyn too please ':,neutral
b'This will end up being one of the most powerful treatments for auto immune we have NIH has more in vi':,neutral
b' JAmCollSurg it must be the present no the future very useful tool for ambulatory surgery units e':,neutral
