reply_id,text,news_source
1074826642877370000,@medical_xpress @UWMadison @NatureComms such device stimulating vagus nerve can be used for treating neurodegenerative diseases,NR00000
1.07541427026601E+018,@DrDanMO I probably need the large bilateral electrocution strength version,NR00000
1.07566259282633E+018,@CHSommers But................. Adds robot.,NR00000
1.07566328341429E+018,@CHSommers Do you put it in your belly button?,NR00000
1.0756752475406E+018,@CHSommers Sounds like a pretty extreme way of escaping your responsibility to practice a little self-discipline fo… https://t.co/CIVWzhJ5Pm,NR00000
1.07568256084216E+018,@CHSommers What if you just reprogram your brain to think hunger = progress?,NR00000
1.07574037646663E+018,"@CHSommers Kind of overkill, isn’t it?
There are natural appetite suppressants available that are harmless and they… https://t.co/4mESimx9wj",NR00000
1.07574062193828E+018,"@Jillybeanpark @CHSommers That is possible to do, but it’s a lot of work.",NR00000
1.07575707313088E+018,@CHSommers This lady is unironically going to get a machine implanted in her body instead of just eating meat like… https://t.co/b7eQiqJePZ,NR00000
1.07583944537332E+018,@dum_phuk Why do these genious' always try to avoid the roots of the problems with their reverse-engineering gimmic… https://t.co/oTMgAFjVCX,NR00000
1.07313058108761E+018,@EcoInternet3 You mean probiotics can help millions of patients suffering from inflammation of the gut which is cau… https://t.co/v5x2cLvMOk,NR00002
1.08886950939235E+018,@DavidPerlmutter Unfortunately commercial probiotics are very incomplete &amp; do not sufficiently approximate the enti… https://t.co/k119urweYN,NR00002
1.08897866176677E+018,@DavidPerlmutter Watched your podcast citing your promising results of treating a young boy’s autism with a fecal t… https://t.co/Fh7h3ingVo,NR00002
1.08910867041424E+018,@Total_Exactness @DavidPerlmutter About Probiotic &amp; Microbiota very interesting this website https://t.co/T9ZvzVfe3P,NR00002
1.08897144924584E+018,@JamesJosephIgoe The Mediterranean Diet has potential heart health benefits! https://t.co/PgaNXJLsmi,NR00003
1.07037249994954E+018,"@DrAliAzizzadeh Good luck,dear professor",NR00005
1.07043969901622E+018,@DrAliAzizzadeh Great work!,NR00005
1.07075230711611E+018,@Cara_PR_Comms @CedarsSinai You are so kind...thank you,NR00005
1.07075504916745E+018,@DrAliAzizzadeh @Cara_PR_Comms @CedarsSinai Nice article Ali ! You are continuing from where you left off at Houston. Many congratulations,NR00005
1.07655690437622E+018,"Extract from soursop leaves can prevent the symptoms of fibromyalgia, study suggests https://t.co/iHChyd30XK",NR00008
1.07656091093479E+018,@FibroFacts We love #SoursopTea!,NR00008
1.0685210634772E+018,@DrIanWeissman @WUSTLmed OMG....... and what exactly is promising about that?,NR00011
1.06855661087487E+018,@DrIanWeissman @WUSTLmed Why would you know? There’s no treatment! One of the Wilson &amp; Jungner criteria for screening/early diagnosis.,NR00011
1.0862952692963E+018,@biomatushiq Thanks for sharing this.,NR00013
1.08470779127981E+018,Gold destroys everything from central banks to prostate cancer.,NR00014
1.06201931802669E+018,"@MDAndersonNews Wow - if you need an IP attorney to support you on this one, I'm raising my hand.",NR00015
1.0877349517878E+018,@HealioGastro @MDAndersonNews @NatureMedicine Take a look at Phillip Newman’s case history. At 17 he had diarrhea f… https://t.co/9UOXhqO5zN,NR00015
1.05782856923632E+018,@bioengineerorg Kefir,NR00017
1.05799957200862E+018,@hedgielib Makes me feel better about my yogurt habit.,NR00017
1.05833146837472E+018,@JoseAntonioPhD https://t.co/sPw9tCtCn6,NR00017
1.05838139272622E+018,"@JoseAntonioPhD “Plenty” but not too much because: “A very high consumption of non-fermented dairy products, on the… https://t.co/INRBAMm0Fm",NR00017
1.05865289740627E+018,@JoseAntonioPhD @DiscoStew66 or people that eat fermented dairy products are trying to be healthy generally? saying… https://t.co/D4oaoXVJjx,NR00017
1.06707347220193E+018,"@hthsci4bb3 #4bb3neuroimmune EVIDENCE: ""Measuring CSF cytokine levels may have clinical utility in both identifying… https://t.co/8wTxZFIW29",NR00018
1.04967256651064E+018,@2healthylife @LillianBlau @ECNPtweets @EurekAlert Pretty sure this is backwards. My bipolar treatment has seriousl… https://t.co/Vq9MYX7cyN,NR00025
1.04968192617115E+018,"@practicalLJT @2healthylife @ECNPtweets @EurekAlert I want to get my hands on the study, I’m interested in the anti… https://t.co/iZrxUR0ZZU",NR00025
1.05115628725226E+018,@BipolarBattle I’m not ready for snow.,NR00025
1.05133026643266E+018,"@PaHe56435751 As I'm writing this, the start of a blizzard/whiteout is happening outside my window!",NR00025
1.04789138910576E+018,@Monika_Dutt @D_Oickle We're up to three midwives now in #temiskamingshores - covering area all the way up to Kirkland Lake.,NR00026
1.04789206016072E+018,@PaulCobb_OCCIAR @D_Oickle I was so impressed when I learned this. That may beat all of Nova Scotia.,NR00026
1.04791056666327E+018,@Canadamidwives,NR00026
1.04811707221827E+018,@birthhumanright @MidwivesRCM @ScotlandRCM @WhoseShoes @world_midwives @BUMidwiferySoc @MidwivesIreland @De_KNOV,NR00026
1.04812289156343E+018,@EvanTeijlingen @birthhumanright @MidwivesRCM @ScotlandRCM @WhoseShoes @world_midwives @BUMidwiferySoc @De_KNOV Tha… https://t.co/hlYRFMmYgZ,NR00026
1.04815238127005E+018,@world_midwives @RHDinPregnancy @sistercherisse 💕,NR00026
