reply_id,text,news_source
1.07574062193828E+018, CHSommers That is possible to do but its a lot of work ,NR00000
1.07482664287737E+018, UWMadison NatureComms such device stimulating vagus nerve can be used for treating neurodegenerative diseases,NR00000
1.07566259282633E+018,But Adds robot ,NR00000
1.07566328341429E+018,Do you put it in your belly button ,NR00000
1.07541427026601E+018,I probably need the large bilateral electrocution strength version,NR00000
1.07574037646663E+018,Kind of overkill isnt it There are natural appetite suppressants available that are harmless and they,NR00000
1.0756752475406E+018,Sounds like a pretty extreme way of escaping your responsibility to practice a little self discipline fo,NR00000
1.07575707313088E+018,This lady is unironically going to get a machine implanted in her body instead of just eating meat like,NR00000
1.07568256084216E+018,What if you just reprogram your brain to think hunger progress ,NR00000
1.07583944537332E+018,Why do these genious always try to avoid the roots of the problems with their reverse engineering gimmic,NR00000
1.08910867041424E+018, DavidPerlmutter About Probiotic amp Microbiota very interesting this websit,NR00002
1.08886950939235E+018,Unfortunately commercial probiotics are very incomplete amp do not sufficiently approximate the enti,NR00002
1.08897866176677E+018,Watched your podcast citing your promising results of treating a young boys autism with a fecal t,NR00002
1.07313058108761E+018,You mean probiotics can help millions of patients suffering from inflammation of the gut which is cau,NR00002
1.08897144924584E+018,The Mediterranean Diet has potential heart health benefits,NR00003
1.07075504916745E+018, Cara PR Comms CedarsSinai Nice article Ali You are continuing from where you left off at Houston Many congratulations,NR00005
1.07075230711611E+018, CedarsSinai You are so kind thank you,NR00005
1.07037249994954E+018,Good luck dear professor,NR00005
1.07043969901622E+018,Great work ,NR00005
1.07655690437622E+018,Extract from soursop leaves can prevent the symptoms of fibromyalgia study suggest,NR00008
1.07656091093479E+018,We love SoursopTea ,NR00008
1.0685210634772E+018, WUSTLmed OMG and what exactly is promising about that ,NR00011
1.06855661087487E+018, WUSTLmed Why would you know Theres no treatment One of the Wilson amp Jungner criteria for screening early diagnosis ,NR00011
1.0862952692963E+018,Thanks for sharing this ,NR00013
1.08470779127981E+018,Gold destroys everything from central banks to prostate cancer ,NR00014
1.0877349517878E+018, MDAndersonNews NatureMedicine Take a look at Phillip Newmans case history At 17 he had diarrhea f,NR00015
1.06201931802669E+018,Wow if you need an IP attorney to support you on this one Im raising my hand ,NR00015
1.05865289740627E+018, DiscoStew66 or people that eat fermented dairy products are trying to be healthy generally saying,NR00017
1.05833146837472E+018, JoseAntonioPh,NR00017
1.05838139272622E+018, Plenty but not too much because A very high consumption of non fermented dairy products on the,NR00017
1.05782856923632E+018,Kefir,NR00017
1.05799957200862E+018,Makes me feel better about my yogurt habit ,NR00017
1.06707347220193E+018, 4bb3neuroimmune EVIDENCE Measuring CSF cytokine levels may have clinical utility in both identifying,NR00018
1.04968192617115E+018, 2healthylife ECNPtweets EurekAlert I want to get my hands on the study Im interested in the anti,NR00025
1.04967256651064E+018, LillianBlau ECNPtweets EurekAlert Pretty sure this is backwards My bipolar treatment has seriousl,NR00025
1.05133026643266E+018,As Im writing this the start of a blizzard whiteout is happening outside my window ,NR00025
1.05115628725226E+018,Im not ready for snow ,NR00025
1.04829188763385E+018, and you are doing it midwife cw Wow ,NR00026
1.04812289156343E+018, birthhumanright MidwivesRCM ScotlandRCM WhoseShoes world midwives BUMidwiferySoc De KNOV Tha,NR00026
